,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,Semer,VSA,Age,Gender,Education,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiouness,Impulsiveness,Sensation Seing
17,Less than a year,More than a year,More than a year,Never,Less than a year,Less than a year,Less than a year,More than a year,Never,More than a year,Never,More than a year,Never,More than a year,Never,More than a year,Less than a year,Never,Never,45-54,Male,School Dropout,11.830034029405088,6.237641000265736,9.573802452902905,8.691793000727408,6.002089852093894,4.308016529682876,6.160226588104123
18,Less than a year,More than a year,Never,More than a year,Less than a year,More than a year,Less than a year,More than a year,Never,More than a year,Never,Never,More than a year,More than a year,Never,More than a year,Never,Never,Never,55-64,Male,University Degree,14.357737645604448,9.526959953328262,10.02710694125534,4.4406759112794285,5.617083674906765,6.758404574067456,9.313161059044399
19,Less than a year,More than a year,Never,Never,Less than a year,More than a year,Less than a year,Never,Never,More than a year,Never,Never,Never,Never,Less than a year,Never,More than a year,Never,Never,35-44,Male,Professional certificate,9.249735467010176,4.616561746891351,2.834084144868304,4.4406759112794285,12.188860280109457,4.308016529682876,0.0
20,Less than a year,More than a year,More than a year,Never,Less than a year,More than a year,Less than a year,Never,Never,Never,Never,Never,Never,More than a year,Never,More than a year,More than a year,Never,Never,45-54,Male,Professional certificate,7.933318393835825,12.4595211259862,12.945361863092135,14.650440485399901,6.71546836933806,10.071451478417035,9.313161059044399
21,Less than a year,Never,Never,Never,Less than a year,More than a year,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,More than a year,More than a year,Never,Never,65+,Male,School Dropout,6.737792525996952,11.454429386089501,6.978855290387562,8.249806602085233,15.229681672805366,8.56948605880682,4.4879643818699515
22,Less than a year,Never,Never,Never,Less than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,45-54,Male,University Degree,11.519332056055765,7.10503889820491,7.858778341651095,13.215774342158436,7.405263887124895,6.758404574067456,10.791183462868197
23,Less than a year,More than a year,More than a year,Less than a year,Less than a year,More than a year,Less than a year,More than a year,Never,Never,More than a year,Never,Never,More than a year,Never,Never,Less than a year,Never,More than a year,45-54,Male,School Dropout,15.042956002190468,0.0,6.471984636161372,10.830831668764215,7.071609186112298,4.308016529682876,2.6493609085522998
24,Less than a year,More than a year,More than a year,More than a year,Less than a year,More than a year,Less than a year,More than a year,Never,More than a year,Never,Never,Never,More than a year,Never,More than a year,Less than a year,Never,Never,55-64,Male,University Degree,9.840894351534292,11.94808685585825,14.61980652704055,12.196538465979286,14.21985590412082,8.56948605880682,7.762342477019955
25,Less than a year,More than a year,More than a year,Never,Less than a year,More than a year,Less than a year,More than a year,Never,More than a year,Never,Never,More than a year,More than a year,Never,More than a year,More than a year,Never,Never,45-54,Male,college - no degree,7.933318393835825,8.656080001710482,6.471984636161372,12.71784687503608,9.980804535325428,8.56948605880682,12.399149044675154
26,Less than a year,Never,Never,More than a year,Less than a year,More than a year,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Less than a year,Never,Never,55-64,Female,School Dropout,10.128623137324158,5.010889053828274,0.0,7.803461534020714,11.68830606518953,10.071451478417035,2.6493609085522998
27,Less than a year,More than a year,More than a year,More than a year,Less than a year,Less than a year,Less than a year,More than a year,Never,Never,Never,Never,More than a year,More than a year,Never,More than a year,More than a year,Never,Never,35-44,Male,University Degree,11.830034029405088,6.237641000265736,10.540454761850786,9.950091791846113,3.7042051057049497,16.189816469208427,12.399149044675154
28,Less than a year,Never,Never,Never,Less than a year,More than a year,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,35-44,Female,Masters or Doctorate Degree,10.40896132401544,5.394037135797039,8.279956084812017,10.830831668764215,13.770162454248403,10.071451478417035,7.762342477019955
29,Never,Never,Never,Never,Less than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,45-54,Male,Masters or Doctorate Degree,6.3401248684755345,15.317493043528724,13.462855070163904,12.71784687503608,15.229681672805366,8.56948605880682,7.762342477019955
30,Less than a year,More than a year,More than a year,More than a year,Less than a year,More than a year,Less than a year,More than a year,Never,Never,More than a year,Never,More than a year,More than a year,More than a year,More than a year,More than a year,Never,Never,45-54,Male,School Dropout,11.211242021343695,7.537668795606503,6.471984636161372,5.729225600110843,8.116448636977681,4.308016529682876,10.791183462868197
31,More than a year,Never,Never,More than a year,More than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,More than a year,Never,Never,35-44,Female,School Dropout,6.737792525996952,7.537668795606503,11.060927465452414,8.249806602085233,9.980804535325428,4.308016529682876,6.160226588104123
32,Less than a year,More than a year,More than a year,Never,Less than a year,More than a year,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,More than a year,Less than a year,Never,Never,35-44,Male,University Degree,7.933318393835825,6.237641000265736,10.540454761850786,11.265803784826057,9.980804535325428,10.071451478417035,6.160226588104123
33,Less than a year,Never,Never,Never,Less than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,18-24,Male,University Degree,11.519332056055765,9.082662121670285,11.553030180356698,13.712374002701797,9.587889249385167,6.758404574067456,2.6493609085522998
34,Less than a year,More than a year,More than a year,More than a year,Less than a year,More than a year,Less than a year,More than a year,More than a year,More than a year,More than a year,More than a year,More than a year,More than a year,More than a year,More than a year,Less than a year,Never,More than a year,35-44,Male,University Degree,13.313615175363482,11.94808685585825,13.462855070163904,1.624398157235392,7.744027756930573,11.306852854668904,20.0
35,More than a year,Never,Never,Never,Less than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Less than a year,Never,Never,65+,Male,School Dropout,9.550998843920343,7.537668795606503,2.0789760895403475,9.12907434562228,7.744027756930573,11.306852854668904,2.6493609085522998
36,Less than a year,Never,Never,Never,Less than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,35-44,Male,University Degree,9.550998843920343,8.242326500566598,10.02710694125534,9.950091791846113,5.617083674906765,8.56948605880682,9.313161059044399
37,Less than a year,More than a year,More than a year,More than a year,Less than a year,More than a year,Less than a year,More than a year,Never,Never,Never,Never,Never,More than a year,Never,More than a year,Less than a year,Never,Never,55-64,Male,School Dropout,11.211242021343695,10.983435809562208,14.043500649335929,10.379175374383724,8.116448636977681,11.306852854668904,7.762342477019955
38,Less than a year,More than a year,Never,Never,Less than a year,More than a year,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,More than a year,More than a year,Never,Never,45-54,Male,University Degree,5.679719928943397,13.928306347417324,11.553030180356698,9.950091791846113,12.188860280109457,8.56948605880682,6.160226588104123
39,Less than a year,Never,Never,Never,Less than a year,More than a year,Less than a year,Never,Never,Never,Never,Never,More than a year,Never,Less than a year,Never,More than a year,Never,Never,65+,Female,Professional certificate,9.550998843920343,7.10503889820491,6.978855290387562,7.803461534020714,11.200625801013752,4.308016529682876,9.313161059044399
40,Less than a year,More than a year,Never,More than a year,Less than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,More than a year,Never,Never,35-44,Male,Masters or Doctorate Degree,10.40896132401544,8.656080001710482,10.540454761850786,4.000392568901616,12.188860280109457,6.758404574067456,10.791183462868197
41,Less than a year,Never,Never,Never,Less than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,More than a year,Never,Never,35-44,Female,University Degree,12.733141494355394,10.010140717730678,14.043500649335929,15.249627636850672,8.828614809084506,8.56948605880682,9.313161059044399
42,Less than a year,Never,More than a year,Less than a year,Less than a year,More than a year,Less than a year,Less than a year,Never,Less than a year,Never,More than a year,More than a year,Never,Never,Never,More than a year,Never,Never,35-44,Male,Masters or Doctorate Degree,9.840894351534292,7.10503889820491,6.471984636161372,9.950091791846113,8.116448636977681,8.56948605880682,7.762342477019955
43,Less than a year,More than a year,More than a year,Never,Less than a year,More than a year,Less than a year,More than a year,Never,More than a year,Never,Never,Never,More than a year,Never,Never,Less than a year,Never,Never,35-44,Male,Professional certificate,7.548858835105049,8.242326500566598,9.573802452902905,9.55296216328557,7.071609186112298,8.56948605880682,9.313161059044399
44,Less than a year,Never,Never,Never,Less than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,More than a year,Never,Never,25-34,Male,University Degree,7.156949315033934,14.441787087689718,12.046816958516988,13.712374002701797,12.711871745430614,8.56948605880682,10.791183462868197
45,Less than a year,Never,Never,Never,Less than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,25-34,Female,University Degree,8.895758419420952,11.454429386089501,14.61980652704055,12.71784687503608,14.707593899017423,4.308016529682876,0.0
46,More than a year,Never,Never,Never,Less than a year,More than a year,Less than a year,Never,Never,Never,Never,Never,Never,More than a year,Never,Never,More than a year,Never,More than a year,45-54,Female,college - no degree,11.211242021343695,11.94808685585825,6.978855290387562,10.830831668764215,14.21985590412082,6.758404574067456,6.160226588104123
47,Less than a year,Never,Never,Never,Less than a year,More than a year,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,45-54,Male,Masters or Doctorate Degree,4.196554318677292,12.4595211259862,11.553030180356698,12.71784687503608,13.273533928344628,0.0,4.4879643818699515
48,Less than a year,More than a year,More than a year,Never,Less than a year,Less than a year,Less than a year,More than a year,Never,Never,Never,Never,Never,Never,Never,More than a year,Less than a year,Never,Never,45-54,Male,School Dropout,10.68645012310245,7.537668795606503,9.573802452902905,9.55296216328557,8.116448636977681,10.071451478417035,6.160226588104123
49,Less than a year,Never,Never,Never,Less than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Less than a year,Never,Never,25-34,Female,Masters or Doctorate Degree,12.733141494355394,8.242326500566598,4.206854785168585,7.35307531549839,10.749142698795737,11.306852854668904,16.51503296076956
50,Less than a year,More than a year,More than a year,More than a year,Less than a year,More than a year,Less than a year,More than a year,Never,More than a year,Never,Never,More than a year,More than a year,Never,More than a year,Less than a year,Never,Never,35-44,Male,Masters or Doctorate Degree,13.313615175363482,9.526959953328262,10.02710694125534,6.50114306827235,9.980804535325428,6.758404574067456,6.160226588104123
51,More than a year,More than a year,More than a year,More than a year,Less than a year,More than a year,Less than a year,More than a year,Never,Never,Never,Never,Never,More than a year,Never,More than a year,More than a year,Never,Never,45-54,Male,Professional certificate,13.644915846602032,12.939830723320291,8.713796688224836,7.35307531549839,4.452857093373669,16.189816469208427,20.0
52,Less than a year,Never,Never,Never,Less than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,More than a year,Never,Never,55-64,Female,University Degree,9.840894351534292,10.010140717730678,5.9903749307752845,10.830831668764215,7.744027756930573,11.306852854668904,2.6493609085522998
53,Less than a year,More than a year,More than a year,Never,Less than a year,More than a year,Less than a year,More than a year,Never,More than a year,Never,Never,Never,More than a year,Never,More than a year,More than a year,Never,Never,45-54,Male,Masters or Doctorate Degree,6.011287730269847,9.526959953328262,14.043500649335929,10.830831668764215,10.749142698795737,8.56948605880682,9.313161059044399
54,Less than a year,Never,Never,Never,Less than a year,More than a year,Less than a year,Less than a year,Never,More than a year,Never,Never,More than a year,More than a year,Never,More than a year,More than a year,Never,Never,55-64,Male,School Dropout,10.40896132401544,13.402821685252892,8.713796688224836,6.896021198720687,6.71546836933806,14.101358842555687,16.51503296076956
55,More than a year,Never,Never,Never,Less than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,55-64,Female,Professional certificate,10.40896132401544,7.876894130296005,6.978855290387562,8.691793000727408,8.828614809084506,4.308016529682876,0.0
56,Less than a year,Never,Never,Never,Less than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,35-44,Female,college - no degree,10.40896132401544,10.010140717730678,5.160066973900259,9.950091791846113,10.749142698795737,4.308016529682876,2.6493609085522998
57,More than a year,Never,Never,Never,Less than a year,Never,More than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,25-34,Female,University Degree,8.56062888358916,11.94808685585825,4.206854785168585,10.830831668764215,12.188860280109457,6.758404574067456,7.762342477019955
58,Less than a year,More than a year,More than a year,Never,Less than a year,Less than a year,Less than a year,Less than a year,More than a year,More than a year,More than a year,More than a year,More than a year,More than a year,Never,More than a year,Less than a year,Never,More than a year,45-54,Male,School Dropout,10.947258132256106,11.94808685585825,10.540454761850786,8.691793000727408,8.828614809084506,16.189816469208427,16.51503296076956
59,Less than a year,Never,Never,Never,Less than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,45-54,Male,University Degree,8.895758419420952,6.237641000265736,6.471984636161372,5.321213730674642,9.587889249385167,4.308016529682876,2.6493609085522998
60,Less than a year,Never,Never,More than a year,Less than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,More than a year,Never,Never,25-34,Female,Masters or Doctorate Degree,14.357737645604448,10.983435809562208,11.553030180356698,9.12907434562228,9.203113995081342,4.308016529682876,10.791183462868197
61,Less than a year,More than a year,Never,Never,Less than a year,More than a year,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,More than a year,Never,Never,More than a year,45-54,Male,Masters or Doctorate Degree,3.6980302124129416,14.840879310186839,14.61980652704055,10.379175374383724,13.770162454248403,4.308016529682876,4.4879643818699515
62,Less than a year,Never,Never,Never,Less than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Less than a year,Never,Never,25-34,Male,University Degree,8.56062888358916,5.795908892370942,4.678910670160018,6.1236996155134005,11.200625801013752,4.308016529682876,4.4879643818699515
63,Less than a year,Never,Never,Never,Less than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,45-54,Male,University Degree,13.313615175363482,9.082662121670285,8.279956084812017,8.249806602085233,9.980804535325428,4.308016529682876,4.4879643818699515
64,Less than a year,More than a year,Never,More than a year,Less than a year,Less than a year,Less than a year,Less than a year,Never,Never,Never,Never,Never,More than a year,Never,More than a year,More than a year,Never,Never,45-54,Male,Masters or Doctorate Degree,5.679719928943397,11.454429386089501,14.043500649335929,8.691793000727408,12.711871745430614,4.308016529682876,7.762342477019955
65,Less than a year,Never,Never,More than a year,Less than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,35-44,Male,college - no degree,12.46550682739983,11.454429386089501,7.858778341651095,13.215774342158436,11.68830606518953,11.306852854668904,9.313161059044399
66,Less than a year,Never,Never,Never,Never,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,45-54,Male,School Dropout,7.156949315033934,7.876894130296005,6.978855290387562,13.712374002701797,11.200625801013752,6.758404574067456,4.4879643818699515
67,Less than a year,More than a year,More than a year,Never,Less than a year,More than a year,Less than a year,More than a year,Never,Never,Never,Never,Never,More than a year,Never,More than a year,Less than a year,Never,Never,25-34,Male,Masters or Doctorate Degree,9.249735467010176,9.082662121670285,14.043500649335929,7.35307531549839,9.587889249385167,12.594702071708037,9.313161059044399
68,Less than a year,More than a year,More than a year,Never,Less than a year,More than a year,Less than a year,More than a year,Never,More than a year,Never,More than a year,More than a year,More than a year,Never,More than a year,More than a year,Never,Never,35-44,Male,Professional certificate,7.548858835105049,10.010140717730678,11.553030180356698,9.55296216328557,9.203113995081342,8.56948605880682,10.791183462868197
69,Less than a year,Never,Never,Less than a year,More than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,More than a year,Never,Never,45-54,Female,School Dropout,10.128623137324158,7.876894130296005,5.160066973900259,10.830831668764215,9.980804535325428,4.308016529682876,6.160226588104123
70,Less than a year,More than a year,More than a year,Never,Less than a year,More than a year,Less than a year,More than a year,Never,More than a year,Never,More than a year,More than a year,More than a year,Never,Never,More than a year,Never,More than a year,25-34,Male,college - no degree,9.249735467010176,9.082662121670285,11.060927465452414,4.4406759112794285,9.203113995081342,11.306852854668904,14.218653520690163
71,Less than a year,Never,Never,Never,Less than a year,More than a year,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Less than a year,Never,Never,45-54,Female,School Dropout,8.895758419420952,13.402821685252892,9.573802452902905,13.215774342158436,10.355938759251348,0.0,6.160226588104123
72,Less than a year,More than a year,More than a year,Never,Less than a year,More than a year,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,More than a year,Never,Never,45-54,Male,School Dropout,5.679719928943397,12.939830723320291,10.540454761850786,11.265803784826057,12.711871745430614,10.071451478417035,12.399149044675154
73,Less than a year,Never,Never,Never,Less than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,More than a year,Never,Never,45-54,Male,Professional certificate,8.269486768898341,8.242326500566598,9.573802452902905,10.830831668764215,13.273533928344628,6.758404574067456,9.313161059044399
74,More than a year,Never,Never,Never,Less than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,More than a year,Never,Never,65+,Female,School Dropout,6.737792525996952,4.616561746891351,1.3421660292055435,5.729225600110843,10.749142698795737,11.306852854668904,0.0
75,Less than a year,Never,Never,Never,Less than a year,More than a year,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,25-34,Male,University Degree,9.840894351534292,10.512136789729775,5.566217691084504,7.803461534020714,8.828614809084506,11.306852854668904,9.313161059044399
76,Less than a year,Never,Never,Never,Less than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Less than a year,Never,Never,45-54,Female,School Dropout,9.249735467010176,7.876894130296005,5.566217691084504,11.265803784826057,11.68830606518953,0.0,0.0
77,More than a year,More than a year,Never,Never,Less than a year,More than a year,Less than a year,More than a year,Never,More than a year,Never,Never,Never,More than a year,Never,Never,Less than a year,Never,Never,35-44,Male,University Degree,10.68645012310245,5.010889053828274,8.713796688224836,6.50114306827235,8.828614809084506,8.56948605880682,0.0
78,Less than a year,Never,More than a year,Never,Less than a year,More than a year,Less than a year,More than a year,Never,More than a year,Never,Never,Never,Never,Never,Never,More than a year,Never,More than a year,35-44,Male,college - no degree,7.933318393835825,7.537668795606503,3.833770002299395,5.321213730674642,3.7042051057049497,0.0,4.4879643818699515
79,Less than a year,Never,Never,Never,Less than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,More than a year,Never,Never,35-44,Male,Professional certificate,9.249735467010176,7.537668795606503,4.206854785168585,13.215774342158436,8.116448636977681,8.56948605880682,9.313161059044399
80,Less than a year,Never,Never,More than a year,Less than a year,More than a year,Less than a year,More than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,65+,Female,Masters or Doctorate Degree,10.40896132401544,10.983435809562208,12.046816958516988,9.55296216328557,14.21985590412082,8.56948605880682,9.313161059044399
81,Less than a year,More than a year,More than a year,More than a year,Less than a year,More than a year,Less than a year,More than a year,Never,Never,More than a year,Never,Never,More than a year,More than a year,More than a year,More than a year,Never,Never,55-64,Female,University Degree,7.933318393835825,6.237641000265736,10.540454761850786,7.35307531549839,9.587889249385167,12.594702071708037,12.399149044675154
82,Less than a year,Never,Never,Never,Less than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,55-64,Male,Masters or Doctorate Degree,4.196554318677292,14.441787087689718,7.441033496665879,11.704268609497857,14.21985590412082,8.56948605880682,4.4879643818699515
83,More than a year,Never,Never,Less than a year,Less than a year,More than a year,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Less than a year,Never,Never,55-64,Female,School Dropout,13.313615175363482,7.10503889820491,6.978855290387562,14.186603008925168,5.26316549088432,10.071451478417035,9.313161059044399
84,Less than a year,Never,Never,Never,Less than a year,More than a year,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,45-54,Male,School Dropout,9.249735467010176,10.512136789729775,9.573802452902905,9.12907434562228,9.587889249385167,4.308016529682876,10.791183462868197
85,More than a year,Never,More than a year,Never,Less than a year,More than a year,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Less than a year,Never,Never,25-34,Female,School Dropout,8.895758419420952,10.010140717730678,5.566217691084504,10.379175374383724,11.200625801013752,11.306852854668904,16.51503296076956
86,Less than a year,Never,More than a year,Never,Less than a year,More than a year,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Less than a year,Never,Never,35-44,Male,college - no degree,12.46550682739983,9.526959953328262,6.978855290387562,10.379175374383724,9.587889249385167,8.56948605880682,12.399149044675154
87,Less than a year,Never,Never,Never,Less than a year,More than a year,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,55-64,Male,School Dropout,7.548858835105049,10.512136789729775,9.139897077826394,9.12907434562228,10.749142698795737,6.758404574067456,12.399149044675154
88,More than a year,Never,More than a year,More than a year,Less than a year,More than a year,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,More than a year,More than a year,Never,Never,35-44,Female,college - no degree,11.211242021343695,4.13020437211547,5.9903749307752845,7.803461534020714,8.477496565022111,4.308016529682876,0.0
89,Less than a year,More than a year,More than a year,More than a year,Less than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,More than a year,Never,More than a year,Never,Never,More than a year,35-44,Female,Masters or Doctorate Degree,12.986351136564322,8.242326500566598,11.553030180356698,8.249806602085233,9.203113995081342,11.306852854668904,9.313161059044399
90,Less than a year,Never,Never,Never,Less than a year,More than a year,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Less than a year,Never,Never,35-44,Female,Masters or Doctorate Degree,14.357737645604448,10.983435809562208,12.945361863092135,10.830831668764215,7.744027756930573,4.308016529682876,10.791183462868197
91,More than a year,Never,Never,More than a year,Less than a year,More than a year,Never,Never,Never,Never,Never,Never,Never,More than a year,Never,More than a year,More than a year,Never,Never,35-44,Male,Professional certificate,11.519332056055765,8.656080001710482,12.945361863092135,10.830831668764215,12.188860280109457,12.594702071708037,14.218653520690163
92,Less than a year,Never,Never,Never,Less than a year,More than a year,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,More than a year,Never,Never,25-34,Male,School Dropout,5.679719928943397,9.082662121670285,9.139897077826394,10.830831668764215,9.980804535325428,6.758404574067456,6.160226588104123
